model,cpu_freq,inference_time,power
Squeezenet.tflite,1324800,78.3304,2275.7296358353337 2484.5457724610155 2349.7400768982493 2410.1894095689768 2437.969523024796 2379.6427696382248 2344.3982818706995 2309.7239008256684 2436.8595117917803 2394.420958455077 2331.672954534463 2446.461025249065 2481.0739546333316 2351.9564247285584 2994.66066898795 2413.435645584695 2400.248806401804 2381.70207547145 2486.681267359875 2413.253280110359 2396.6065875487006 1723.6404367390562
Squeezenet.tflite,1440000,74.1282,2554.6274467310373 2686.8031095448077 2447.030560514755 2388.0929099208793 2448.678953745735 2527.1962756000185 2442.702088599456 2507.9374766129563 2592.2143070705006 2522.4281892752037 2525.018824984354 2565.6191724788796 2949.4969005999887 2376.0495205947364 2754.011750739747 4321.927488633643 2771.9008547553417 2573.085957382065 2521.1576924770607 2520.8226108599642 1702.0695140944058
Squeezenet.tflite,1555200,68.2967,2574.370271269097 2735.9409475981734 2419.034314320909 2592.500484288981 2670.9515928031155 2617.6280317551636 2941.4475512537997 2674.3664979222067 2660.2586704399337 2634.6027813809255 2702.802021097377 2677.816246259613 2681.7099930759473 2699.9188820694612 2689.611151628604 2877.0473219519945 2643.6468631682555 2712.6531940553027 2625.5960333005055
Squeezenet.tflite,1670400,63.1535,2749.4210967589565 2838.93152158316 2778.7236432791888 2815.7691545097578 3241.853906419045 3807.779603173025 3117.76003205115 2844.79375920385 2971.171016351414 2883.761549347861 3588.7886807487434 2848.6847261707767 2900.2465373163923 2804.2608186980506 2825.6306656411225 2837.263997184561 2852.5473804811095 1383.5932789853146
Squeezenet.tflite,1766400,60.8611,2950.895941819025 2925.810059159627 2919.0301378076715 3025.346086832596 3048.380818406584 3248.0407063667794 2941.198112896924 2910.4998031745836 2945.703482406219 2966.5734913441897 3085.634413992073 2997.6833525929546 2983.0744924519295 3037.041376880758 2892.05969111159 2914.1766477003257 2738.9223559232596
Squeezenet.tflite,1881600,55.6293,3168.7295787173466 3261.935879787884 3146.037814224859 3199.8291803896404 3239.0958393431024 3229.904544742151 3405.75505511395 3327.7556823941327 3139.4401989957305 3518.377467948243 2909.6430999317645 3073.575732537621 3177.0420885251824 3239.672948388792 3210.1061404009174 1778.3968885412728
Squeezenet.tflite,1996800,52.148,3501.2618846781816 3449.070879703977 3543.7187575819858 3670.0989319700893 3563.060835774622 3778.2137194485704 4218.597542781032 3476.4689072872347 3581.5964734426743 3477.4104999872498 3585.1092718559444 3542.87199617927 3454.7932811904766 3563.806807372114 2071.029369750855
Squeezenet.tflite,2112000,49.6144,3989.2672261390835 3961.571898566928 3881.5366084034667 3924.729132385051 3870.655145973056 3907.5956834965345 3849.8798848177303 3847.848464174781 3863.5161855117076 3884.4408714689944 3989.2460668975955 3915.8438662637104 3974.1966071905085 2854.466954214862
Squeezenet.tflite,2227200,50.0035,4494.333548075937 4492.834805431993 4280.360365244043 4174.647312103054 4131.628532614815 4061.5459235044227 4181.87996815153 4238.383899428342 4112.256725483608 4080.4813814341783 4131.88658696601 4537.2121396748025 4136.380885044494 4176.415768047948
Squeezenet.tflite,2342400,47.9676,4673.621880945088 4499.372482090586 4658.212137591416 7575.968843695748 5359.11522960632 4898.965289389358 4561.598452104812 4668.221015886013 4606.912809671293 4620.180785440248 5022.9624175937015 4639.409114458607 4673.997815673314 1314.6776453056473
Squeezenet.tflite,2419200,45.6977,4934.154006410145 4889.056205935461 4857.010641461392 4837.978912106157 4890.798318620826 4882.689131704609 4831.591981837558 5246.027177516415 4911.565541339363 4853.60779593853 4951.417277481839 4858.35780986456 3456.362259233391
densenet.tflite,710400,763.51,1542.7054394027539 1392.58744069408 1726.165486215659 1714.4904959316364 1907.8864567619382 1447.6951287386942 1645.0479003333523 1445.1866613580069 1536.2196557455663 1449.4552804647471 2086.7319503342046 2314.020165573433 1624.2335604367304 1421.5200501369115 1535.8101512447913 1475.38381966173 1793.4024200750941 1331.5490678598 1758.3490150904897 1367.7223599895965 1328.9387311973858 1381.6546996300476 1703.4737497421117 1382.0902534531153 1485.3312994165747 1618.558013184169 1343.513627028347 1834.7155297436989 1748.1134227333464 1621.9436173685262 1535.4313791878706 1506.7137507198838 2248.125040640092 1804.4923107532964 1366.6504429906015 1631.592225805775 1815.303302714498 1599.391639427024 1360.770679361464 1557.8757071508633 1318.5009061729133 1422.7371072798753 1344.8582302681837 1334.2629146909537 1598.3596460914748 1634.251288260238 1412.2494109744162 1339.98315721767 1536.3429986134897 1544.1957146912005 1668.701635039746 1342.647201492296 2261.634172093097 1363.218552769638 1370.2809997320485 1351.0651829301657 1588.148536906127 1417.891459215931 1805.373035188106 1400.1442836510062 1835.3944749239533 1335.3546492040502 1592.2404941453785 1321.9093581836005 1537.4898890796278 1306.07624250694 1418.2595456601414 1355.5910453394101 1397.402321056399 1330.4804401940403 1310.0334743340388 1795.0349023820995 1366.1603989734692 1378.6194181791188 1347.4240103563232 1492.4600276434332 1368.7684619136073 1532.535544820809 1514.882080688745 1601.0166030116281 1337.9203203051798 1565.5106225391726 1676.4630662490338 1476.86856460596 1445.220306066864 1509.9407997641867 1400.2323285254877 1600.9570164652346 1406.9850802944038 1960.8710886709484 1596.9615758011748 1640.7208128128145 1725.9020295949583 2889.6183300470375 1346.8902723035874 1610.5961005015974 1428.720265910481 1539.520597872529 1344.0601678664082 1548.9158498106071 1502.5354907692047 1379.1713402658547 1386.6924955640839 1436.905418797681 1679.4191172747787 1328.1504219322967 1535.8535713021724 1383.6562117000851 1536.219314781185 1390.5802980731848 1634.0617658799617 1358.0403224806455 1517.2577579765757 1310.082025843386 1565.5487189728865 1758.0460865158916 1446.8286740724604 1351.3312070454826 1421.4514434565021 1372.127694258771 1335.2644254316226 1492.000910528823 1356.1989335965293 1604.0953959393253 1357.106595082937 1519.2486574657048 1761.3673993915477 1565.2167123035729 1358.2984058541786 1683.087565396911 1320.523310189423 1583.4276868936727 1497.1788506419698 1430.1911935256626 2644.6055692064256 1690.2052585755728 1334.760516100557 1621.8756272994015 1309.2846557296432 1489.8619797286692 1332.9431452494327 1372.1036111375395 1599.3936034577416 2034.9025214414903 1458.2826848552613 1530.4205857123293 1365.84308840336 1448.4976116109156 1552.9305760207897 1323.5325582331413 1491.2174766588741 1355.9409025927666 1541.5847054662324 1364.3908589393209 1568.2695506657126 1349.1507864097764 1518.5118002990212 1343.8005350260066 1596.911103237906 1309.3336623115124 1597.889721146705 1313.9070808434988 1475.3964165249852 1350.1411765718567 1730.704485579836 1355.3085074259222 1301.2656939133371 1823.751248635691 1425.9954816164459 1895.4320008094164 1816.9640718609446 1581.8364221545664 1444.1583036810666 1628.6347697340004 1347.3172979330352 1672.7774085146605 1420.9085142868846 1981.553801310757 1350.1686353853268 1780.055128237757 1867.4449689820926 1841.3444573831857 1337.2772897153027 1595.6157447208968 1568.5719827054445 1659.3663303057583 1861.2496383217988 1526.6507331073378 1458.8389280900828 1502.8676541238906 1334.5139159934474 1735.651606328113 1339.5206776542832 1395.5363360701995 1407.018105887197 1310.6956116561971 1557.8067574367121 1329.6317477846662 1676.4923351804466 1488.5691947906844 2066.404774175356 1363.12692386982 1573.3732971668055 1374.9553064882375 1606.773276573253 1344.2081098286978 1645.077810100482 1320.7443650290395 1452.9308984000322
densenet.tflite,844800,637.139,1802.7039321597003 2289.6276508964993 2140.908118785412 1866.6484767665477 1448.5153518890663 1671.77440872667 2977.403409065271 1604.7014951592143 1585.985986695192 1497.9815170150048 1784.5343310021085 1950.8802303551402 1700.5420126745323 1902.4708693033733 1741.8140173900003 1727.2561682803896 1647.0802527123005 1485.331915766073 1757.8720583520349 1512.6083037677402 1630.5402653374135 1413.143296793337 1648.933581439967 1411.9171566633124 1473.5088736440289 1504.0280191951886 1551.4884407334168 1970.8406943450955 1458.2196699952558 1699.8082281045506 1566.62718750324 1520.9666253125952 1759.1292498774792 1488.6068492081745 1614.4437914489056 1461.5187324090004 1451.225475783274 1892.338137597794 1545.6132766849946 1684.8797749565194 1441.7719594098655 1622.6984376502583 1444.7461463691516 2031.3353861123685 2103.2612130952793 1458.4984593154834 1753.2077603618097 1688.0384097254048 2860.8284838923855 1590.9021423787997 1464.071011623783 1730.6591347305648 1434.2216124754332 1672.7845256405897 1442.610947314561 1593.231477117023 1877.9404130810346 1662.8090749556861 2027.6435626364625 1542.6157130266217 1717.760548397812 1494.7460937783628 1713.8831663762812 1653.2818228926458 1528.647871492745 1552.6940500859869 1444.5312299257487 1669.6704648831544 1482.4247494024034 1782.9898040243381 1457.6016456597217 1620.0320848531169 1622.933695598216 1563.2425442834524 1513.0898569088024 1435.9400868986143 1614.8077529608483 1540.7258149921195 1776.3142826568426 1539.7175619189368 1651.342475614489 1438.8307582339703 1880.1959075016978 1542.1547800006022 1571.0030680692857 1750.8626600785237 1450.0887451224805 1740.7038780642756 1443.607344064677 2450.638938437052 1612.7956034650679 1422.1371283721726 1719.6835278122478 1665.4647546729211 1710.8675065508953 1441.1255382842219 1797.6234584816305 1665.889756284602 1508.3860643620264 1769.4975424220565 1454.0422645877175 1668.0785692209186 1621.9797627663224 1664.5336694482794 1665.8674014003916 1540.8411544710018 1551.5440327267 1432.2353884991146 1633.6091762065569 1643.8588585460839 1683.0635783229275 1444.0659406861953 1647.674934660496 1734.0858545367978 1650.604707160688 1808.1624891128074 1442.0549592719688 1624.1809670280322 1428.1509989741855 1747.6562641543421 1611.0274722850993 1593.0681186604174 1624.4368129499155 1657.9073591356896 1545.9201428241176 1441.6652757621619 1960.2180799859445 1613.686787842052 1750.303299235668 1588.777038818742 1534.612081702362 1840.3275629594891 4053.4276519827504 2285.0301002944743 1714.7376548759407 1706.6797618821806 1476.8879695108908 2098.9372960058517 1526.6470321864508 1446.741175518058 1549.5399339645421 1589.2700889334528 1655.9055132680317 1451.1814736839365 1700.1596115223444 1471.0109599063678 1937.8626641612964 1493.6377131001182 2091.8318378848317 1583.4429788120826 1782.7653653504412 1677.0657909881681 1534.2593003036432 1713.224948055016 1797.0869060526252 1529.6275468174304 1413.3556123327678 1621.3653564390577 1575.3025727889485 1556.697582912628 1754.2441875979343 1696.4813710850328 1606.542851016456 1478.8603768245875 2138.796656866055 2401.0500776537547 1802.5700064258126 1648.417831707399 1495.0062160136376 1616.8863793683843 1755.9400160051061 1480.3774982454975 1835.0292689740713 1361.1111806752956
densenet.tflite,960000,524.283,1863.3897808456463 1845.4679777907213 1905.5898702791326 1938.6793568053745 2452.2137966928162 1569.8664001181576 1725.2739810383675 2094.1694731756993 1672.8124720884289 2020.5214290525646 1819.0300687282665 1748.8638715027885 1615.4765676218901 1913.6997354294974 1787.6385666377175 1921.033109554765 1833.5946860123802 1868.457535401702 1610.9191896681991 1897.7376924019838 1588.6624720814395 1604.333752268994 2007.9003661915133 1692.86137660234 1577.4815277216485 2009.5921368922425 1921.692972118381 1824.2242613552 2103.899349904711 1930.3837419930524 1683.2595107280717 2067.1303617981052 1624.6916889192264 1838.3365734904842 2013.1812147169235 1781.10535964661 1690.2195672744194 1912.7409216158687 1829.9309032484634 1951.7794466492412 1813.0891586274836 1987.9730287996065 1572.178069062405 1758.3314245108077 2116.1371682501012 3031.8767333817937 2023.8675142559964 1725.623149004919 2196.3971729127693 1721.5954489054277 2309.2503848905194 1622.3798412968827 1920.6107483538974 1893.9758575077813 1861.196080618019 1886.592066185646 1533.474214508042 1912.387238205447 1905.793589637233 1978.9570056153998 1817.4012025489208 1881.54912627485 1596.8721204441076 1686.1515039671601 2039.404076311845 1596.83275350504 1714.0011090268733 2267.1307391275222 1673.4985109781742 1674.2591782859786 1811.6527079667185 1921.9428902312063 1662.6118011343583 1663.302838071441 2609.5248891081965 2307.2948791031463 2490.996134674121 2482.2078250502623 2611.564109950128 2145.799591094116 1540.7848411508237 2102.745112358229 1572.0857560840896 1892.2181420778375 1653.6089502120074 1840.053545226014 2712.5137101088826 2186.6768592314347 1884.894433665988 1719.4171522078682 1658.0134559453386 2043.960125624401 1706.7520033243404 1652.5448637312259 1936.7258620077982 1906.0586092245605 1615.8262580470862 1680.6357115546732 2113.8953087663112 1836.087326257756 1593.8824262862377 1945.1901778170366 1933.009875498446 1549.8423144621077 1637.2024175435179 2032.1597448207058 1682.8190019400217 1625.942026732568 2079.139155279953 1746.8973580926508 1597.90799772642 1936.7084482164341 1864.762883995614 1885.1538776081088 2091.5339825757333 2017.841458299575 1594.4574771502903 1816.8898654094003 2094.9473815837828 2410.603254317838 1992.5961499220532 2209.1046105540445 2103.521834350986 1742.1000781966686 1857.2363123383313 2155.5542427048726 1919.2067452457845 2427.949928867846 1565.8578734147304 1750.174370320983 2036.0609399959774 1572.0219437086166 2673.6581557682584 2763.1026583479443 2682.9186574045702 1903.4733849905776 1708.9766165792432 1771.3947806606943 1835.8511970804593 1602.7274789694739 2009.8894450128362 1809.128910884772 1685.8245142869455
densenet.tflite,1075200,501.678,1866.7293723061266 1847.160580955094 1723.7820097739968 2064.4171212586557 2128.308952176253 1807.9402981488474 1745.301813875824 1856.7847830594271 1920.1601408172196 1730.0537699865072 1681.894332342907 1753.5176431420832 1930.9417282089355 1721.2755245913368 2011.1410873522132 1949.4695229617864 1985.037565226014 1684.698673742393 1824.682760889499 2017.636474150869 1785.6565200582318 2102.808112307624 1993.2863429171066 1883.0692160799156 1745.8587331833062 2071.268951602832 2264.471147607974 1968.7652550443559 1739.8623750866618 1739.1762298459892 2113.134107913543 1774.381879352768 1653.9833218584415 1992.315552444066 2773.398016571059 2148.978223768281 1956.136974402491 2031.9519443887098 2462.6093792946313 1724.0712757468823 1980.6176024095907 1940.2633825916785 1855.4395421313309 1633.3335445362425 1761.1268603286837 2002.629336544581 1852.9268712662122 1917.7571620250817 2102.826207815588 2049.090081216388 1839.6321876440952 1910.6548287635105 1967.0152228667873 1736.749744340808 1696.0338793022638 2471.4054619464077 1987.4393749695903 1831.7880938295768 1739.8524566225287 1750.1581832812155 1917.9520372010766 1663.054991523697 1926.049486428904 2089.2863077624556 1832.9661297596238 2043.4751608899662 1763.7293572266321 1863.0549644222845 1650.2305342481548 1955.737406879035 2019.3881352900721 1753.9604878831287 1682.0458492229338 1805.070158742906 2022.4382087567296 3046.4619316106305 1940.6912095174152 1821.244633036078 1998.1709471260383 1709.7944243126572 1687.8917316805598 1915.1193435954276 1885.4932962367677 1596.9548748287011 1739.4798589937175 2062.966820186284 1880.4739033606575 1729.3318541692888 1710.57670237778 2110.75325664474 1912.800797425672 1726.3344379364553 1838.175875486865 2081.042787092111 1674.7515577215013 1731.3212086771352 2166.5941429903755 2343.6011842825305 1688.4663005525715 1739.256834217754 2054.445655356796 1910.1133381965624 1679.2440145594849 1790.015046995218 1912.063212254726 1645.2653604696488 1851.4416394596337 2183.7216363383645 2054.2375052902994 2099.9580546402717 2535.3513705173 1839.730919493507 2071.029685116731 2006.217309405507 1872.039378013133 2037.6501543731385 2781.068772199623 1950.0178191417108 1868.684809066509 2080.999945471327 2228.875300137257 1858.7814730614446 1686.3908357345308 2052.6620840075307 2008.467641848888 1758.8003482189204 1631.6699991788423 1964.5035451103543 1944.5054763068529 1651.980913120699 1788.1515244091445 1928.1695596275983 1970.7531603381703 1644.1681678417253 2250.682504755419 2078.2941983659366 1557.6697733677968
densenet.tflite,1209600,464.226,2170.6538021082956 2056.26227131054 1864.9922158267773 1848.8206122276856 1824.6413607234156 2120.5781417691333 1903.28124946418 1776.876537075867 1704.497377354006 2507.0587146846606 2562.394045378443 2794.0977727651334 1810.6293040721755 2099.72229212575 2050.9705958508425 2042.1456759314196 1819.4968268674843 1724.8009961224275 1859.5346429872877 2163.2746662597674 1933.0871147666062 1758.1400868574754 2157.1470026245393 1843.4355528676952 2202.7275664870413 1876.8602359130014 1926.9455778619415 1929.9584139758683 1850.9038971589932 2013.9783167096195 2048.4811432322176 1701.497823633493 2792.853923938153 2194.969907045626 2432.611094405365 2479.0890801142614 1777.9435646398647 1926.8492359098607 2013.5502415472656 2087.536618172588 2094.7180694402937 1850.6191063139254 1712.050734399114 1900.7435303793638 2514.317719996249 2201.990237030747 1908.9672003799726 1850.975792636134 1853.4243938824188 1965.6590460818607 1875.99674472599 1690.6365326521368 2198.7965090825032 1903.2585421061863 1940.1705321507627 2111.640315589813 1771.6041144230837 1946.0238138502282 2032.982494830136 1833.1497716691272 1715.7689475921602 1834.753944762042 2216.8914960214397 1966.9979898992224 1716.9837191784204 1798.3315855065653 2190.2926135884736 2078.843023393997 1914.7754210455973 1908.4416146446558 1859.821630878017 1945.94981060161 2130.049729479325 2294.4908755619326 1863.8630581838506 1776.7831511591799 1945.931212442489 2195.264205073703 2116.9090290759154 1940.2366394847797 1814.9584180124687 1965.7150381543552 2028.7061547195804 1969.8526623407263 1829.9896896009948 1769.9035661757723 1827.9680741416998 2021.3957358617238 2170.4230131003937 1807.0006707948264 1790.2952927725562 1871.3352995569896 2076.1862657670194 2076.7174160744885 1698.0793172668486 1790.2016087558482 2156.306238762529 1996.037792146103 1828.071225023 1822.180890823368 1991.008386456248 1983.4166508742724 1863.0282025907331 2443.429420167014 2129.7788546473016 2167.373795626998 2250.0260735614397 2082.9865763288944 1741.199142587448 1805.9923257745866 1976.8778746705157 2087.7352965896603 1990.1587498642866 1704.8007223703403 1799.5169675235052 1929.4938420085573 2121.7909354012922 2613.879483779206 1729.9809925668094 1768.4415379280067 2174.49207234821 1978.681366693504 1703.316479723619 1759.6724591761197 1944.5932137184018 2077.5550896726595 1607.4775107198786
densenet.tflite,1324800,417.859,2039.7355124336116 2238.3968233835126 2197.6836177898645 1930.490291235931 1912.170600113509 2123.3107226436846 1866.8759986413893 2037.2846891720162 2033.4320243993825 2123.731901564711 2221.8265612735577 1911.7830867149237 1823.079834751129 1817.8975091992354 2196.4321308501376 2531.6441845893632 2085.1514696382965 1989.436831684581 2139.752182838158 1848.6181967576313 2052.301520896038 2000.2959551935307 2352.540080462176 2112.403112390351 3053.3102455100143 2029.0925107998487 2061.4420795130336 1919.1261599394802 1933.9485340890592 2101.2772666525007 2213.074721138926 2379.9541976297724 2134.3262426503375 2007.3721549913994 1840.8814334148574 1903.1563529392695 1905.5398962020408 2155.336832205678 2283.1500193456873 2320.726342884833 2793.240159558865 2308.187701939619 2302.2632068049174 1932.6400665121148 2165.3501250448753 2081.7390652746735 2303.0767625712433 2091.172031544471 2335.9792564823265 2152.106688281096 2116.5216807106344 2438.3321728377696 2288.5117725499877 1870.1525147301254 1961.5810356920906 2182.9293982414342 2154.7009321886444 2004.1782429625146 2189.5875693978114 2030.7673168824838 2202.0170800000074 2549.1307666288644 2193.8942446778856 1907.028894786938 1920.840659428933 2225.4021622087953 2243.9976017561094 2173.508907829946 2116.589937678864 2007.4329864504057 2038.967180310731 1842.901516567063 2081.741211289226 2473.2475838597734 2276.458752784826 2135.0401359972448 2073.052272072333 1936.3882043782414 1944.3923740787006 1868.2127020148787 2092.5144589449014 2375.7374239469264 2183.7756206077274 2175.1761616999993 2366.8810740828967 1963.7973889181112 1838.097340286472 1977.127593197341 1969.800334833734 2031.9136948306766 2244.534280372071 2229.756082242623 2081.7001975684184 1965.5966924905183 2157.827729403676 2442.2319008271024 2121.632553724578 1996.4610081179894 2046.0947863010153 2264.2300850512133 2219.983661621521 2079.5335955273854 1995.9928701306865 2065.7889726212643 2102.5845543023097 2004.926430753472 2463.737093203919 2335.1855432039347 2249.064683925122 1985.4291963159383 2533.026697086941 2070.0314346237956 2275.029534041859 2741.0856450593874
