model,gpu_freq,inference_time,power
inception_v4.tflite,315000000,278.291,2189.739021376453 1992.458245252122 2023.0869008006787 2258.678893777413 1996.0194454365922 2070.652650443998 2061.9801495168285 2377.9390270053227 2077.5718068382134 2319.31405403119 2332.625782027511 2010.9218054159232 2229.4619177670634 2058.2087997611043 1983.651248066457 2214.690270682554 2317.0002008066617 2006.7935706987812 2252.2673864786016 3402.1602691003086 2338.308702494142 2484.22111986849 2086.274884819715 2149.8707662040174 2299.1573491735844 2050.884747449104 2021.4011254177078 2164.3335217546755 2032.162986332084 2115.163312327294 2152.813689459516 2086.1764755992162 2415.6533676592985 2154.375258077923 2035.5106567612763 2032.4422913639653 2160.665536687239 2032.260684923816 3036.6529625255803 2124.7504352387223 2055.0638099678245 2019.4831681205824 2119.3269619571006 2191.461603279086 2044.4261469845592 2150.5412143618273 2491.6888104575555 2045.9287355235103 2103.9525637607803 2431.6132108303414 2041.9062399167333 2120.915378353765 2117.8703358108205 2038.28724734462 4197.360501991139 2072.3736186130463 2079.3626740359227 2190.4755697966216 2021.339329714498 2049.392237052386 2559.4600709370884 2028.6580167067498 2064.0722533720073 2034.0756011835806 1999.552721664291 2157.417438107958 2134.003534738315 2002.5121524096135 2061.576918229068 2021.9063533309902 2004.7998236600831 2179.1714279364146 2135.845779263421 1993.1680953226364 2022.33613448158 2028.8446244705215
inception_v4.tflite,379000000,202.757,2826.159204097265 2793.118617050569 2630.724298844844 2585.000175102134 2786.2430317953313 2659.996153851204 2710.3946637862623 2739.7879493691516 2665.6157545480683 2613.182762459708 2731.304181996705 2577.695923315382 2719.355968716691 2723.628665015372 2702.34150945474 2569.3546874032886 2707.329967831647 2597.8186686160307 2882.0833334412905 3344.323079813268 2984.037823076721 2844.2588370976023 2692.2585234660282 2674.831868616429 2571.8442329351033 2653.0130083255112 2578.290514365402 2619.3399081389393 2937.7638289128854 2706.0908720396937 2789.509022239363 2635.995972793867 2711.3506969902255 2891.7526857888365 2620.5189020620583 2598.4087023317484 2829.5110688468253 2712.9451840508304 2560.4508935604954 2575.0005920241656 2689.7550542919935 2716.63203217702 2645.6195696994296 2674.3190952156324 2585.7292680555156 2564.7251666784355 2711.0044242738054 2583.99757786046 2569.5763269566405 3888.048723637393 2901.718784075962 2840.66647169564 2895.8355703205457 2562.8131658911993 2590.668776488937 1254.8842122165522
inception_v4.tflite,443000000,175.275,2954.0528826505106 2850.098319489421 2911.7612354241196 2931.689128961919 2900.8591502238005 2804.7926480360784 2782.508939738876 2797.562877789335 2741.676621361477 2770.9270672054654 3034.7730259297555 2843.343909934304 2806.625762405969 2811.3928485696724 2798.520521743765 3024.2067730128556 2820.3726020198055 2789.0585483323694 2856.6945049854307 2786.2350850941493 2759.9920731263533 3238.0488239218607 2952.3758660810227 2817.475516570542 2935.4004938194903 2791.98409806716 2805.8555381591236 2932.8872778945292 2816.6615819950284 2843.5083181461578 2878.3124246022817 2777.8313271889283 3363.57221229403 2942.897533732406 2822.412203413399 3008.213762947501 2960.43560683373 2801.271476282392 2794.301979810703 2891.9764596415243 2777.3963263051314 2787.656228770783 2945.119223764248 3212.6863377196637 2840.15495238191 2870.82628120147 3665.3186750970244 3550.19211538373
inception_v4.tflite,491000000,161.165,3114.7678032397716 2997.352964627626 3071.875413397312 3102.5854188448907 2950.909383379275 2960.4243877261397 2926.7765557469406 2996.335005211909 2945.7656907854225 2919.4849433012055 2984.1190159885864 3018.0931434764075 3014.2735053835413 2998.260914470135 3164.069642706775 2961.8457882235894 3195.562881244068 2907.6878570111817 2972.2718323726676 2940.696996797962 3010.295015007766 4077.4372374939503 3013.3591882511246 2946.843786806198 2907.6054424319523 3076.471243038674 3105.635470203707 2919.3632866499884 3090.7571200014027 3082.5597611418307 2937.8939509134466 3200.598303711167 3389.51505468924 3657.0533688221703 3336.2996471824795 3308.892271268152 2969.286051571346 3081.2340420584155 3123.145905029132 3015.534073601349 3241.9743113739373 3452.8096694269443 2912.3096869107267 3322.4003645849625 1135.9954439411479
inception_v4.tflite,540000000,151.528,3281.635302735906 3398.7260870329374 3148.950260712099 3148.384143358407 3072.217820067743 3450.1898187799343 3111.3547183752084 3168.1672361142696 3128.405589456042 3126.367797636742 3126.103347969842 3093.333208305817 3143.561320771753 3218.3470890636045 3172.8766277606833 3216.4042353525774 3449.5091753819183 3114.991470403318 3111.715940794199 3272.046779798747 3081.658101662726 3669.328877778236 3138.931268597456 3168.613910431848 3127.401030294047 3224.757007854606 3204.792356927294 3174.185816198688 3256.785860908675 3218.8387763440082 3482.773315772015 3229.0576008513335 3090.4652170184427 3152.9224791805354 3126.056966228216 3156.996777354752 3166.67407517392 3274.3899390678735 3151.9260661185626 3123.023691592099 3507.91601936858 2100.7521778312107
inception_v4.tflite,608000000,137.516,3681.521186745751 3649.7589739768327 3625.146117648348 3598.5756701356227 3803.9788278797423 3600.51005090618 3538.3958546520785 3623.3150872564192 3593.1857617153073 3540.1851283390642 3646.0047565302943 3569.9665266900347 3527.0170393530007 3662.150537990009 3634.02868961039 3648.9071267899003 3782.595816571646 3706.8652781966625 3582.542927999533 3616.3487958020946 3720.0240399044574 3549.953643552959 3620.4440488376667 3756.1203475519505 3646.782040361551 4635.33533310659 3795.8872436347915 3552.876764518647 3601.8858456043636 3828.3658081932754 3554.296184839901 3643.6276627249354 3798.573097709855 3660.426952175588 3702.54012164167 3872.1022173307856 3534.702544647251 2376.4759945132064
inception_v4.tflite,676000000,115.832,6671.200528464032 4849.5979922646675 5003.290388833949 4895.6519831425685 4897.0616117163745 4858.90512357523 4933.684080468602 4817.881926057572 4967.5850562228825 4861.769068765911 4943.975605541185 4855.170363199579 4856.5726188529015 5002.581412156667 5145.461367971607 4945.3167966114925 4919.160524886026 5076.963636869171 4799.822079734022 4820.141567794279 4979.719943344413 4893.054337279637 4909.839161787296 4956.885111505351 4832.4358484003 4857.019742909123 5039.125062257712 4949.940646356099 4830.150868174015 5046.616192964384 4853.577308289645 3887.113961359579
inception_v4.tflite,738000000,106.566,5798.345964373073 5837.586033257864 6157.7726172295925 5785.790190737835 5780.737374402042 5709.305092262785 5827.3293204309475 5669.7935454417875 5734.773523464429 5812.7459698605835 5899.970290337659 5705.993198051328 5897.2838107552925 6108.69086770174 5729.370949110278 5934.016300918579 5673.770140129848 5765.892641455018 5865.426888059764 5730.402389998532 5779.308057834188 5835.620709274452 6489.475234116471 5834.690354003723 6150.763183878829 5824.112512330801 5902.504350180812 5857.074498264777 5926.192946775531 1231.0515969372348
inception_v4.tflite,778000000,102.939,6930.30265005279 6358.096893690262 6404.492329479638 6508.11832957927 6332.977766662285 6360.876543206294 6704.1469997976965 6651.129864677824 6513.457925051444 6803.018183364403 6446.547222144679 6352.427346315374 6576.841543004216 6443.042562825085 6397.018445767248 6609.68879599874 6391.50917602182 6698.426194150919 6538.421092616836 6386.351793883515 6436.059358099547 6525.444494084324 6581.230997940857 6464.4366232003695 6644.7673983139075 6436.14818483301 6406.012025515482 6682.425531134256 1232.8179199220474
inception_v4.tflite,840000000,96.9871,7610.47391779249 7623.801054335679 7449.670403598673 7597.425969290989 7704.532758651298 7529.780926122285 7528.467579202043 7557.351122022651 7590.158323397357 7856.608067387736 7561.074247100951 7568.767279745114 7700.795620500521 7606.544932794641 7547.55344186959 7633.541112567292 7655.4496121922 7743.693192452843 7581.879302146699 7608.49527621237 7588.431442561939 7695.292654390296 7805.199519294919 7535.488248665514 7639.280042008406 8240.742993840884 3416.332815187255
