model,cpu_freq,inference_time
resnet_v2.tflite,2169600,993.636
resnet_v2.tflite,2246400,997.291
resnet_v2.tflite,2323200,991.949
resnet_v2.tflite,2400000,992.192
resnet_v2.tflite,2476800,992.416
resnet_v2.tflite,2553600,995.154
resnet_v2.tflite,2649600,994.843
yamnet.tflite,825600,12.6534
yamnet.tflite,902400,11.7198
yamnet.tflite,979200,11.0563
yamnet.tflite,1056000,10.4049
yamnet.tflite,1209600,10.759
yamnet.tflite,1286400,10.6911
yamnet.tflite,1363200,11.2607
yamnet.tflite,1459200,10.504
yamnet.tflite,1536000,10.4909
yamnet.tflite,1612800,10.9497
yamnet.tflite,1689600,10.6475
yamnet.tflite,1766400,10.6705
yamnet.tflite,1843200,10.5856
yamnet.tflite,1920000,10.4589
yamnet.tflite,1996800,10.5691
yamnet.tflite,2092800,10.799
yamnet.tflite,2169600,10.8189
yamnet.tflite,2246400,10.662
yamnet.tflite,2323200,10.6335
yamnet.tflite,2400000,10.7208
yamnet.tflite,2476800,10.6532
yamnet.tflite,2553600,10.6819
yamnet.tflite,2649600,11.2609
yolov5.tflite,825600,284.956
yolov5.tflite,902400,255.543
yolov5.tflite,979200,242.939
yolov5.tflite,1056000,225.984
yolov5.tflite,1209600,202.246
yolov5.tflite,1286400,192.847
yolov5.tflite,1363200,189.128
yolov5.tflite,1459200,184.261
yolov5.tflite,1536000,178.071
yolov5.tflite,1612800,180.761
yolov5.tflite,1689600,184.417
yolov5.tflite,1766400,194.939
yolov5.tflite,1843200,192.738
yolov5.tflite,1920000,190.189
yolov5.tflite,1996800,187.157
yolov5.tflite,2092800,185.54
yolov5.tflite,2169600,191.006
yolov5.tflite,2246400,188.782
yolov5.tflite,2323200,187.517
yolov5.tflite,2400000,184.8
yolov5.tflite,2476800,187.256
yolov5.tflite,2553600,184.531
yolov5.tflite,2649600,186.408
