model,node,inference_time,power
mobilenetv1.tflite,20,14.4579,4574.63937327037 4559.793542506102 4577.404754886693 4654.251557422315 4544.713256966156 4588.574819175797 4568.283884203251 4559.372015874033 4621.58546023808 5264.59263837947 5027.302130013095 4847.906708073185 5107.508769667554 5210.663346725039 5389.411114915251 5111.148001094014 5236.820438777151 5220.335483447464 5149.29982663302 5257.53437676606 5202.176094799013 5240.27376487881 5513.59646020714 4579.90809409787 4593.457035868156 5259.899819440486 5221.5186046965455 4372.896204762357 5374.085549436795 5097.273726327286 5415.991783749907 5076.3254720104205 5266.993181678263 5365.7184184239895 5188.343706966348 5145.345463214092 5183.6040011123905 5322.995097356339 5253.126000373717 2627.4497708951217
mobilenetv1.tflite,21,15.5639,5097.093841170261 5222.895438082141 4901.607759974233 4890.021329301979 5439.548674828233 5295.995038928872 5214.370445628273 5267.275028988164 5125.932585395327 5280.04674755039 4851.371381077899 5313.668169588365 5310.705369531821 4690.0216582109515 4774.481398469382 5133.268876440272 5189.596969612815 5144.876203269409 5359.799215483332 5285.9685374461005 5184.892490565823 5245.465874826102 5275.983743169425 5117.827432077244 4693.596468600271 5129.247005421833 4890.4066875707385 4566.1831169348425 4638.6826045612215 4765.089749365265 4670.558025220781 5284.500121323344 4786.162798307181 5018.576367879844 5333.161410352431 5048.376975008057 5275.321767922711 4910.310588564518 5292.024938866348 5292.984248991181 5259.863623220129 5264.222506807253 3551.940551382381
mobilenetv1.tflite,22,14.4081,5265.461034719884 5130.271566514119 5346.2512025614315 5309.691439680156 5393.881085228009 5238.760064864485 5284.675231217182 5307.106957888215 5173.6857789522655 5426.03543223718 5245.807347568265 5542.89128729876 5342.647608127162 5376.07637290442 5307.758318683079 5138.030190174408 5223.350246461031 5144.494884931826 5265.1362529926155 5404.12914602899 5170.267460012217 5368.002191939253 5499.747764832916 5299.800338775852 5394.219140660147 5418.734778905134 5482.527083769511 5466.537194486634 5193.135558885796 5312.214203221463 5421.48296115127 5259.918163518287 5316.295853649606 5443.606297601937 5679.652120468478 5852.058499479544 5706.573612308369 5647.315355427138 5606.262279830911 1512.2694470968988
mobilenetv1.tflite,23,16.2273,4856.003875895327 5331.045152041283 5408.6123810713325 5045.480442855037 5439.960408003052 5100.6692329783 5450.0617612596725 5295.276358488785 5499.665638179449 5033.681039500922 5631.249823396448 5159.230394152721 5495.480332180122 5761.806973129291 5302.399243800255 4940.317106418003 5351.073163731782 5258.957111020797 5518.26866573123 5281.740991198603 5231.994894484437 5419.839913946927 5348.268555014435 5349.209800408526 5612.686885115814 5147.386498420077 5323.738354448776 5089.5273464887005 5353.080869052812 5554.411614689885 5227.546710822994 5123.866288688998 5162.159433261407 5451.288430607711 5466.291594294201 5518.589244379851 5434.185367107735 5374.018748484819 5328.579329351777 5463.937660984626 5260.743466138299 5059.129019728201 5347.005656228356 5620.99680604585 1275.8385607604337
mobilenetv1.tflite,24,15.0804,5181.161019631934 5275.904815089865 5113.916129125884 5451.518666578716 5486.52462349578 5386.944254186052 5459.17248285472 5883.019105773891 5250.683555961638 5395.744751136732 5234.83832573228 5405.2329106763445 5289.837605660205 5530.0479978078265 5244.132891872281 5543.682919016259 5493.536098964109 5692.144821459238 5681.677860802468 5302.050745621696 5636.03179656899 5841.115522594003 5557.359479938067 5603.403428327037 5533.898510704201 5242.043104690595 5576.037782181368 5637.5408698735955 5335.488369721012 5633.487721598361 5556.509717459122 5629.023327926456 5657.763849829364 5625.503429391616 5732.3885033641445 5457.835088285879 5487.658179019342 5469.537332091128 5517.826186646078 5613.145993638129 5527.190272044178 1259.6004979547563
mobilenetv1.tflite,25,14.6593,5778.687399772347 5532.918380055203 5905.151548127552 5656.776141679766 5753.602943903304 5738.855380283772 5768.432566929014 5867.964449468676 5846.389722411059 5782.1349296467315 5803.531033869771 5753.0974870721 5694.380974361612 5938.339989594794 5706.133873890474 5974.10296395969 5847.127473675744 5866.787963387657 5846.391841162396 5907.856767679858 5793.465509694545 5808.624746825056 5780.3955518779885 5810.352982158549 5940.3647587703335 5783.760983884023 5811.867736106608 5809.131311446591 5836.018744040836 6047.8481295690135 5875.341242523894 5881.255555739093 5924.160565380914 5992.82400720357 5851.68109972832 5836.901577918627 5846.140104897261 5865.732984612773 6080.76069146846 6001.159295097493
mobilenetv1.tflite,26,15.5106,5304.924071803434 5228.30427006902 5364.543460898557 5470.112324595817 5465.215464892501 5435.1311085260995 5691.88283624473 5669.351530640002 5752.469367895011 5256.9933719086475 5495.3691799301705 5685.267843390518 5700.397050604087 5543.950356468894 5462.102281511982 5619.4001577796535 5484.284758540681 5595.1022688017465 5524.6759974295355 5594.489023652323 5567.169008476853 5616.016784140028 5524.805493780699 5729.195886743761 5670.474321512108 5613.6907824465525 5711.549579704594 5678.254437362793 5805.903892611419 5650.872249728955 5616.234636678026 5682.397887701635 5479.232293940801 5381.5191343391225 5656.809072850759 5467.930135076894 5445.338129131107 5800.305761145019 5785.467310747823 5575.4133314016235 5598.850221396442 5642.408674108154 1609.8858022284755
mobilenetv1.tflite,27,15.9921,5398.484724295347 5533.822104403493 5668.67835686792 5606.734651498296 5646.219265672545 5782.7631377119105 5635.665104927113 5717.067432149723 5821.483596956582 5732.130835331825 5563.001587888855 5747.209763207092 5720.484045716087 5751.031483957403 5677.344682538642 5750.669048736402 5718.90708561346 5812.357725887665 5726.225992298806 5778.282027751551 5841.525519990979 5768.240216457372 5859.687297607262 5812.565781001228 5753.7499187436815 5736.424480403362 5856.086004149496 5818.736840912855 5765.788541243616 5882.116875394942 5790.759792059902 5844.002126984448 5785.370168800159 5807.37718143289 5796.754040126765 5845.680980208198 5824.021875652708 5746.351743513788 5716.527388482543 5842.276036619129 5842.032258395906 5884.327721193633 5962.836168273871 5718.276552887895
mobilenetv1.tflite,28,16.8561,5486.774008896235 5357.551788664786 5305.139013269187 5518.286257588348 5442.0113858289815 5705.833283544875 5602.0940194402665 5751.319838458695 5578.591316888145 5463.184466159499 5487.199989137056 5542.802842391857 5623.822388786452 5475.033644531595 5608.586988547791 5515.80078748869 5728.370193388311 5585.298265382858 5622.965899892389 5681.018366608938 5501.628965844977 5431.573713391577 5590.82905660076 5616.086864933481 5682.378063293428 5701.6761161930535 5681.011683214845 6774.773665268003 7545.061326465639 5532.848637521729 5650.532786247447 5597.937423883898 5538.605663290356 5876.350351805486 6072.990794426374 6133.053313245054 5632.289602431723 5540.4812266362305 5972.842994448885 5516.547167242338 5524.37603725356 5841.0529271787245 5791.1157658598495 5841.256345454169 5988.119100439845 5705.398253451823 3431.216317709548
mobilenetv1.tflite,29,16.0601,5555.208256561839 5666.0741370871765 5556.236024115601 5662.128538283852 5635.144597865298 5728.612520581827 5824.575847140172 5761.495279858653 5853.859007648549 5786.144146083906 5739.344510310315 5765.688023276638 5729.504722145526 5706.270337665436 5764.508971212594 5843.300180356682 5865.949110526731 5708.4856505334765 5663.163204373216 5864.355463835395 5839.450290778621 5859.031530931583 5889.083761600721 5714.520049804427 5755.233942176117 5717.225637090536 5857.334495413159 5813.701356828444 5804.094288024429 5845.853604888609 5810.507550639369 5752.13783841922 5826.2145124704375 5809.698678420127 5848.131518503286 5748.970892510926 5790.742158228389 5822.18543422489 5772.106600170186 5808.152874429689 5779.73156494645 5755.221453126683 5976.173066714522 5739.959684466272
